Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M09;93,969
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M08;94,145
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M07;93,853
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M06;94,340
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M05;94,201
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M04;94,028
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M03;93,678
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M02;93,349
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M01;93,188
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M12;94,394
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M11;94,328
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M10;94,445
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M09;93,649
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M08;92,736
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M07;92,217
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M06;92,433
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M05;92,606
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M04;92,743
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M03;91,458
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M02;90,847
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M01;90,753
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M12;91,762
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M11;91,643
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M10;91,273
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M09;90,559
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M08;90,338
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M07;90,226
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M06;90,713
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M05;90,841
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M04;90,871
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M03;89,754
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M02;89,088
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M01;88,975
